   -0.2586,    0.1284
   -0.1769,   -0.2127
   -0.1616,    0.0907
    0.0868,   -0.1980
    0.2210,   -0.1078
   -0.0907,   -0.3266
   -0.1294,    0.0369
   -0.0577,    0.1071
    0.0592,    0.0189
   -0.1551,   -0.5008
    0.2395,    0.1363
   -0.4421,   -0.4542
    0.1000,    0.0098
   -0.0078,    0.1381
    0.0289,   -0.2259
   -0.3229,    0.3240
    0.2412,    0.0062
    0.1345,   -0.2199
   -0.2336,    0.0641
    0.0526,    0.0367
    0.3153,    0.2921
   -0.0187,   -0.0889
   -0.0307,   -0.0611
   -0.2150,   -0.0987
   -0.3047,    0.2664
   -0.0328,   -0.1873
    0.2471,    0.1984
    0.1160,    0.0238
   -0.1278,   -0.1432
    0.2593,   -0.0129
    0.5473,    0.5177
    0.7516,    0.5644
   -0.0279,    0.4525
    0.6309,    0.6568
    0.5154,    0.4809
    0.4985,    0.5130
    0.7448,    0.5969
    0.3026,    0.5700
    0.0298,    0.6036
   -0.1286,    0.4098
    0.3443,    0.5134
    0.7648,    0.5256
    0.4974,    0.5727
   -0.0132,    0.4203
   -0.0333,    0.5165
    0.2004,    0.4437
    0.6836,    0.4159
    0.4507,    0.4812
    0.2183,    0.3382
    0.6459,    0.3850
    0.7450,    0.3546
    0.0275,    0.5938
   -0.3465,    0.5649
    0.4923,    0.4447
    0.3590,    0.3574
    0.9332,    0.6352
    0.6575,    0.6779
    0.1422,    0.4124
    0.1823,    0.3800
    0.0739,    0.6430
    0.0044,    0.9054
   -0.2622,    1.1666
    0.0673,    1.1565
   -0.2036,    0.9102
    0.0621,    1.3309
    0.0792,    0.8089
    0.0001,    1.1080
    0.0018,    1.0181
    0.0105,    1.0992
    0.1948,    0.9361
   -0.1553,    1.1020
    0.0857,    1.0988
    0.0002,    0.9535
   -0.0354,    0.9472
   -0.3460,    1.0737
   -0.0816,    0.9211
   -0.0626,    1.1240
   -0.0642,    1.1873
   -0.0111,    0.9518
   -0.0426,    0.9515
    0.0905,    0.9144
    0.0150,    1.3579
   -0.2653,    1.0902
    0.0038,    0.9663
   -0.2705,    1.2016
    0.0124,    1.0300
    0.0851,    0.8906
   -0.0368,    1.0085
    0.4397,    0.9065
    0.1050,    0.8517
